Air submersion.                                                               19-09-2019
                                                                                       |
e: Nuclide-specific effective dose rate coefficient          (nSv h-1 Bq-1 m3)         |
h: Nuclide-specific ambient dose equivalent rate coefficient (nSv h-1 Bq-1 m3)         |
k: Nuclide-specific air kerma free in air rate coefficient   (nGy h-1 Bq-1 m3)         |
----------------------------------------------------------------------------------------
                e                                                     h        k       |
Nuclide             Adult    15 yr    10 yr     5 yr     1 yr  Newborn                 |
----------------------------------------------------------------------------------------
At-208           4.81E-01 5.01E-01 5.09E-01 5.35E-01 5.53E-01 5.79E-01 8.61E-01 6.77E-01
At-209           3.53E-01 3.67E-01 3.74E-01 3.94E-01 4.08E-01 4.28E-01 6.50E-01 5.04E-01
At-210           4.93E-01 5.17E-01 5.20E-01 5.44E-01 5.59E-01 5.88E-01 8.36E-01 6.77E-01
At-211           3.75E-03 4.04E-03 4.20E-03 4.58E-03 4.94E-03 5.06E-03 1.02E-02 6.82E-03
At-215           2.50E-05 2.61E-05 2.70E-05 2.88E-05 2.95E-05 3.07E-05 5.11E-05 3.69E-05
At-216           2.87E-04 3.07E-04 3.20E-04 3.46E-04 3.66E-04 3.78E-04 7.26E-04 4.80E-04
At-217           3.43E-05 3.60E-05 3.73E-05 3.98E-05 4.09E-05 4.27E-05 7.31E-05 5.13E-05
At-218           4.81E-06 4.15E-06 6.10E-06 6.27E-06 8.72E-06 1.16E-05 1.76E-06 1.31E-06
At-219           0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00 0.00E+00
At-220           7.07E-02 7.33E-02 7.83E-02 8.30E-02 8.81E-02 9.48E-02 1.37E-01 9.74E-02
Au-186           2.37E-01 2.46E-01 2.56E-01 2.70E-01 2.81E-01 2.97E-01 4.36E-01 3.30E-01
Au-187           1.73E-01 1.80E-01 1.82E-01 1.91E-01 1.97E-01 2.07E-01 3.00E-01 2.39E-01
Au-190           4.05E-01 4.21E-01 4.26E-01 4.45E-01 4.53E-01 4.74E-01 6.67E-01 5.41E-01
Au-191           8.41E-02 8.79E-02 9.08E-02 9.66E-02 9.99E-02 1.04E-01 1.73E-01 1.25E-01
Au-192           3.26E-01 3.40E-01 3.43E-01 3.59E-01 3.66E-01 3.84E-01 5.46E-01 4.41E-01
Au-193           1.98E-02 2.11E-02 2.19E-02 2.37E-02 2.49E-02 2.59E-02 4.86E-02 3.23E-02
Au-193m          2.69E-02 2.85E-02 2.95E-02 3.16E-02 3.23E-02 3.37E-02 5.97E-02 4.10E-02
Au-194           1.67E-01 1.75E-01 1.77E-01 1.86E-01 1.90E-01 2.00E-01 2.96E-01 2.32E-01
Au-195           7.70E-03 8.37E-03 8.76E-03 9.66E-03 1.05E-02 1.09E-02 2.27E-02 1.46E-02
Au-195m          2.74E-02 2.91E-02 3.00E-02 3.21E-02 3.29E-02 3.43E-02 6.07E-02 4.18E-02
Au-196           6.61E-02 6.95E-02 7.20E-02 7.70E-02 7.90E-02 8.23E-02 1.42E-01 9.97E-02
Au-196m          2.97E-02 3.17E-02 3.29E-02 3.54E-02 3.69E-02 3.86E-02 7.17E-02 4.75E-02
Au-198           5.98E-02 6.23E-02 6.45E-02 6.87E-02 7.03E-02 7.34E-02 1.20E-01 8.71E-02
Au-198m          6.87E-02 7.32E-02 7.60E-02 8.14E-02 8.43E-02 8.80E-02 1.60E-01 1.05E-01
Au-199           1.22E-02 1.30E-02 1.35E-02 1.44E-02 1.49E-02 1.57E-02 2.87E-02 1.86E-02
Au-200           4.70E-02 4.88E-02 5.01E-02 5.25E-02 5.47E-02 5.87E-02 7.92E-02 6.26E-02
